CÓDIGO,CUENTA,PICHINCHA,PRODUBANCO
1                               ,ACTIVO,"13,838,004,583","6,315,196,016"
11                              ,FONDOS DISPONIBLES,"1,702,375,820","1,207,263,143"
1101                            ,Caja,"297,440,161","107,472,602"
110105                          ,Efectivo,"297,408,311","107,472,602"
110110                          ,Caja chica,"31,850",0
1102                            ,Depósitos para encaje,"1,059,266,859","546,673,405"
110205                          ,Banco Central del Ecuador,"1,059,266,859","546,673,405"
110210                          ,Banco Nacional de Fomento,0,0
110215                          ,Bancos locales,0,0
1103                            ,Bancos y otras instituciones financieras,"220,041,696","491,724,645"
110305                          ,Banco Central del Ecuador,0,0
110310                          ,Bancos e instituciones financieras locales,"4,230,215","313,283,585"
110315                          ,Bancos e instituciones financieras del exterior,"212,767,998","178,441,061"
110320                          ,EXCEDENTE DE FONDO DE LIQUIDEZ,"3,043,483",0
1104                            ,Efectos de cobro inmediato,"42,204,137","33,529,030"
1105                            ,Remesas en tránsito,"83,422,967","27,863,461"
110505                          ,Del país,"83,422,967","27,617,490"
110510                          ,Del exterior,0,"245,971"
12                              ,OPERACIONES INTERBANCARIAS,0,0
1201                            ,Fondos interbancarios vendidos,0,0
120105                          ,Bancos,0,0
120110                          ,Otras instituciones del sistema financiero,0,0
1202                            ,Operaciones de reporto con instituciones financieras,0,0
120205                          ,Instituciones financieras públicas,0,0
120210                          ,Bancos,0,0
120215                          ,Otras instituciones del sistema financiero,0,0
1299                            ,(Provisión para operaciones interbancarias y de reporto),0,0
129905                          ,(Provisión fondos interbancarios vendidos),0,0
129910                          ,(Provisión para operaciones de reporto con instituciones financieras),0,0
13                              ,INVERSIONES,"2,573,032,752","731,657,593"
1301                            ,A valor razonable con cambios en el estado de resultados deentidades del sector privado,0,0
130105                          ,De 1 a 30 días,0,0
130110                          ,De 31 a 90 días,0,0
130115                          ,De 91 a 180 días,0,0
130120                          ,De 181 A 360 días,0,0
130125                          ,De más de 360 días,0,0
1302                            ,A valor razonable con cambios en el estado de resultados del Estado o de entidades del sector público,0,0
130205                          ,De 1 a 30 días,0,0
130210                          ,De 31 a 90 días,0,0
